edge name,edge length,edge speed (km/h),start node,end node
e1,1200,130,n0,n1
e2,1200,130,n1,n0
e3,800,50,n0,n2
e4,800,50,n2,n0
e5,1500,50,n0,n3
e6,1500,50,n3,n0
e7,700,50,n1,n2
e8,700,50,n2,n1
e9,700,50,n2,n3
e10,700,50,n3,n2
e11,1400,50,n3,n4
e12,1400,50,n4,n3
e13,800,50,n2,n4
e14,800,50,n4,n2
e15,1100,50,n1,n4
e16,1100,50,n4,n1
e17,1400,130,n1,n5
e18,1400,130,n5,n1
e19,1900,130,n5,n9
e20,1900,130,n9,n5
e21,1000,50,n5,n7
e22,1000,50,n7,n5
e23,400,50,n5,n6
e24,400,50,n6,n5
e25,500,50,n6,n7
e26,500,50,n7,n6
e27,700,50,n6,n8
e28,700,50,n8,n6
e29,1000,50,n4,n6
e30,1000,50,n6,n4
e31,1500,30,n4,n8
e32,1500,30,n8,n4
e33,700,50,n7,n8
e34,700,50,n8,n7
e35,1000,50,n7,n10
e36,1000,50,n10,n7
e37,400,50,n9,n10
e38,400,50,n10,n9
e39,1700,130,n9,n12
e40,1700,130,n12,n9
e41,300,30,n10,n12
e42,300,30,n12,n10
e43,900,80,n11,n12
e44,900,80,n12,n11
e45,1100,30,n8,n10
e46,1100,30,n10,n8
e47,2050,80,n8,n11
e48,2050,80,n11,n8
